distance_km,id_or_name,lat,lon,source_file
31.993,RN005633,-22.094827,133.423307,Bores_Ti_Tree.csv
32.397,RN002448,-22.090356,133.226538,Bores_Ti_Tree.csv
32.446,RN016815,-22.637731,133.204911,Bores_Ti_Tree.csv
32.511,RN013647,-22.638903,133.206375,Bores_Ti_Tree.csv
32.511,RN016907,-22.088898,133.227826,Bores_Ti_Tree.csv
32.513,RN016375,-22.659115,133.345919,Bores_Ti_Tree.csv
32.556,RN016378,-22.659244,133.349615,Bores_Ti_Tree.csv
32.556,RN016382,-22.659244,133.349615,Bores_Ti_Tree.csv
32.567,RN016679,-22.282254,133.626804,Bores_Ti_Tree.csv
32.600,RN016381,-22.659649,133.349514,Bores_Ti_Tree.csv
32.731,RN043684,-22.649744,133.233672,Bores_Ti_Tree.csv
32.767,RN016379,-22.661125,133.349885,Bores_Ti_Tree.csv
32.767,RN015326,-22.661125,133.349885,Bores_Ti_Tree.csv
32.769,RN016374,-22.661535,133.34409,Bores_Ti_Tree.csv
32.868,RN016377,-22.662045,133.349777,Bores_Ti_Tree.csv
32.868,RN016376,-22.662045,133.349777,Bores_Ti_Tree.csv
32.900,RN015324,-22.66199,133.354049,Bores_Ti_Tree.csv
32.903,RN043683,-22.649275,133.226332,Bores_Ti_Tree.csv
